id,recruiter_id,title,company,description,location,job_type,job_status,created_at
54,3,Full Stack Engineer,Deloitte,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Mumbai, India",Part-time,closed,2024-02-22 00:00:00
55,3,DevOps Engineer,PwC,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Delhi, India",Full-time,active,2024-02-21 00:00:00
56,3,ML Engineer,Flipkart,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.","Bangalore, India",Internship,closed,2024-05-31 00:00:00
57,1,QA Engineer,PwC,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,Remote,Internship,closed,2024-06-12 00:00:00
58,7,Frontend Engineer,PwC,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.","Mumbai, India",Internship,closed,2024-02-25 00:00:00
59,1,Full Stack Engineer,Uber,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Mumbai, India",Internship,active,2024-05-12 00:00:00
60,2,QA Engineer,PwC,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Bangalore, India",Contract,active,2024-06-12 00:00:00
61,7,Backend Engineer,Uber,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Delhi, India",Full-time,closed,2024-05-03 00:00:00
62,7,Data Analyst,Uber,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Bangalore, India",Full-time,closed,2024-04-07 00:00:00
63,1,Full Stack Engineer,Google,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.",Remote,Internship,closed,2024-06-07 00:00:00
64,10,ML Engineer,Amazon,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.","Delhi, India",Part-time,active,2024-05-07 00:00:00
65,9,Backend Engineer,Infosys,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Bangalore, India",Part-time,closed,2024-06-08 00:00:00
66,5,Full Stack Engineer,Accenture,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Mumbai, India",Contract,closed,2024-03-06 00:00:00
67,3,Backend Engineer,Deloitte,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Delhi, India",Full-time,closed,2024-01-29 00:00:00
68,2,Cloud Engineer,PwC,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,"Mumbai, India",Contract,closed,2024-06-05 00:00:00
69,6,QA Engineer,Google,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Delhi, India",Internship,closed,2024-03-19 00:00:00
70,5,Cloud Engineer,Uber,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,Remote,Full-time,active,2024-06-23 00:00:00
71,4,DevOps Engineer,Google,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.",Remote,Full-time,active,2024-02-05 00:00:00
72,4,Backend Engineer,Flipkart,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Bangalore, India",Contract,closed,2024-06-06 00:00:00
73,7,Data Analyst,Amazon,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.",Remote,Full-time,active,2024-01-28 00:00:00
74,10,Data Analyst,Microsoft,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Bangalore, India",Contract,closed,2024-03-31 00:00:00
75,2,Frontend Engineer,TCS,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.","Mumbai, India",Contract,active,2024-04-06 00:00:00
76,2,Full Stack Engineer,Deloitte,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Mumbai, India",Part-time,active,2024-05-09 00:00:00
77,6,Frontend Engineer,Microsoft,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.",Remote,Contract,active,2024-04-21 00:00:00
78,8,ML Engineer,Accenture,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.",Remote,Internship,closed,2024-04-07 00:00:00
79,2,Backend Engineer,Microsoft,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.",Remote,Part-time,closed,2024-01-04 00:00:00
80,2,Cloud Engineer,Microsoft,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,"Delhi, India",Contract,active,2024-05-16 00:00:00
81,1,Data Analyst,Deloitte,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Mumbai, India",Part-time,active,2024-06-08 00:00:00
82,4,DevOps Engineer,Deloitte,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Delhi, India",Internship,active,2024-02-04 00:00:00
83,7,Backend Engineer,Deloitte,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Delhi, India",Contract,active,2024-06-29 00:00:00
84,9,Full Stack Engineer,Deloitte,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Delhi, India",Part-time,active,2024-02-28 00:00:00
85,7,Frontend Engineer,Uber,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.",Remote,Internship,active,2024-05-13 00:00:00
86,7,DevOps Engineer,Infosys,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Bangalore, India",Contract,closed,2024-02-16 00:00:00
87,4,QA Engineer,Google,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,Remote,Contract,closed,2024-02-01 00:00:00
88,9,DevOps Engineer,Flipkart,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Bangalore, India",Part-time,active,2024-01-22 00:00:00
89,7,DevOps Engineer,Microsoft,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Delhi, India",Part-time,closed,2024-05-26 00:00:00
90,3,Frontend Engineer,PwC,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.","Bangalore, India",Internship,active,2024-02-25 00:00:00
91,1,Data Analyst,Flipkart,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Delhi, India",Internship,closed,2024-01-22 00:00:00
92,3,QA Engineer,Uber,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Mumbai, India",Full-time,closed,2024-05-17 00:00:00
93,9,ML Engineer,Infosys,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.",Remote,Part-time,closed,2024-05-05 00:00:00
94,9,Backend Engineer,Google,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Bangalore, India",Contract,closed,2024-01-21 00:00:00
95,7,Cloud Engineer,TCS,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,Remote,Internship,active,2024-05-17 00:00:00
96,8,Cloud Engineer,Amazon,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,"Bangalore, India",Contract,closed,2024-03-30 00:00:00
97,8,Frontend Engineer,Google,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.","Delhi, India",Contract,active,2024-01-24 00:00:00
98,9,Data Analyst,Accenture,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.",Remote,Contract,active,2024-02-10 00:00:00
99,4,QA Engineer,Infosys,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Mumbai, India",Internship,closed,2024-02-22 00:00:00
100,2,ML Engineer,TCS,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.","Bangalore, India",Internship,closed,2024-01-13 00:00:00
101,10,Frontend Engineer,Uber,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.",Remote,Contract,closed,2024-04-08 00:00:00
102,5,Data Analyst,Uber,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Mumbai, India",Part-time,active,2024-05-05 00:00:00
103,4,Data Analyst,Google,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.",Remote,Full-time,closed,2024-03-23 00:00:00
104,10,DevOps Engineer,Accenture,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.",Remote,Contract,active,2024-01-06 00:00:00
105,1,Backend Engineer,TCS,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.",Remote,Contract,active,2024-04-21 00:00:00
106,10,QA Engineer,Microsoft,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Mumbai, India",Full-time,active,2024-02-15 00:00:00
107,3,DevOps Engineer,PwC,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Delhi, India",Full-time,active,2024-04-21 00:00:00
108,5,Data Analyst,Accenture,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Bangalore, India",Contract,closed,2024-06-17 00:00:00
109,4,Cloud Engineer,Microsoft,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,"Bangalore, India",Part-time,active,2024-03-28 00:00:00
110,3,ML Engineer,Flipkart,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.","Mumbai, India",Internship,closed,2024-02-22 00:00:00
111,2,Backend Engineer,Flipkart,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Bangalore, India",Full-time,active,2024-03-29 00:00:00
112,8,Backend Engineer,TCS,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Mumbai, India",Part-time,active,2024-03-30 00:00:00
113,3,Frontend Engineer,Microsoft,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.","Delhi, India",Internship,closed,2024-06-13 00:00:00
114,5,Cloud Engineer,Google,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,"Mumbai, India",Part-time,active,2024-05-22 00:00:00
115,9,DevOps Engineer,Uber,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.",Remote,Internship,closed,2024-03-08 00:00:00
116,6,Backend Engineer,TCS,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Bangalore, India",Contract,closed,2024-04-28 00:00:00
117,3,Frontend Engineer,Amazon,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.",Remote,Contract,closed,2024-02-18 00:00:00
118,8,DevOps Engineer,Accenture,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Mumbai, India",Internship,active,2024-05-12 00:00:00
119,10,Data Analyst,Uber,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.",Remote,Internship,closed,2024-03-11 00:00:00
120,7,QA Engineer,Google,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,Remote,Contract,active,2024-05-21 00:00:00
121,10,QA Engineer,Microsoft,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,Remote,Part-time,active,2024-02-19 00:00:00
122,4,Full Stack Engineer,TCS,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Mumbai, India",Part-time,closed,2024-01-20 00:00:00
123,6,ML Engineer,Amazon,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.",Remote,Full-time,active,2024-03-16 00:00:00
124,1,QA Engineer,TCS,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Delhi, India",Part-time,active,2024-05-05 00:00:00
125,5,Backend Engineer,Accenture,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Bangalore, India",Full-time,active,2024-04-05 00:00:00
126,4,Full Stack Engineer,Amazon,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Mumbai, India",Internship,closed,2024-06-23 00:00:00
127,5,Frontend Engineer,Deloitte,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.","Mumbai, India",Contract,active,2024-02-24 00:00:00
128,2,DevOps Engineer,Google,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Bangalore, India",Contract,closed,2024-03-03 00:00:00
129,3,Cloud Engineer,Infosys,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,"Delhi, India",Internship,active,2024-01-30 00:00:00
130,2,ML Engineer,Amazon,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.",Remote,Full-time,closed,2024-03-25 00:00:00
131,10,DevOps Engineer,Flipkart,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Bangalore, India",Internship,active,2024-01-25 00:00:00
132,4,Backend Engineer,TCS,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Mumbai, India",Part-time,active,2024-01-25 00:00:00
133,4,QA Engineer,Infosys,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Bangalore, India",Full-time,closed,2024-02-25 00:00:00
134,10,Data Analyst,Amazon,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Mumbai, India",Full-time,closed,2024-01-31 00:00:00
135,5,QA Engineer,Flipkart,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Delhi, India",Internship,closed,2024-02-25 00:00:00
136,1,ML Engineer,Amazon,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.",Remote,Internship,active,2024-04-06 00:00:00
137,10,ML Engineer,Uber,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.","Delhi, India",Part-time,active,2024-06-10 00:00:00
